fila_excel,rang_font,prioritat_excel,url_excel,keyword_excel,idea_excel,categoria,comparacio_16_09,files_excel_16_09,estats_16_09,estat,tractament,motiu,evidencia,pendent
2,SEO Ideas!A2:D2,0.00,https://www.estudidentalcarrera.com/es/atm-bruxismo.html,dolor mandibula lleida,This page has a high bounce rate. Try to analyze and adjust all factors that may be increasing your bounce rate.,UX_rebot,exacta_url_keyword_idea,2,mesurament_millorat_pendent_dades,mesurament_pendent,dades_pendents,"Avís de pàgina repetit per keyword, sense període, mostra, canal ni conversions al fitxer. La instrumentació anterior no demostra millora de rebot o permanència.",docs/seo-excel-2026-09-16/resum.md; docs/seo-onpage-2026-09-16/tracking.md,"Comparar sessions equivalents, consentiment, contactes i primeres visites; cap API d’Analytics consultada per aquesta conciliació."
3,SEO Ideas!A3:D3,0.00,https://www.estudidentalcarrera.com/es/atm-bruxismo.html,dolor mandibula lleida,The amount of time visitors are spending on this page is suspiciously low. Try to adjust all factors that may be causing users to leave too quickly.,UX_permanencia,exacta_url_keyword_idea,3,mesurament_millorat_pendent_dades,mesurament_pendent,dades_pendents,"Avís de pàgina repetit per keyword, sense període, mostra, canal ni conversions al fitxer. La instrumentació anterior no demostra millora de rebot o permanència.",docs/seo-excel-2026-09-16/resum.md; docs/seo-onpage-2026-09-16/tracking.md,"Comparar sessions equivalents, consentiment, contactes i primeres visites; cap API d’Analytics consultada per aquesta conciliació."
4,SEO Ideas!A4:D4,0.00,https://www.estudidentalcarrera.com/es/atm-bruxismo.html,bruxismo lleida,This page has a high bounce rate. Try to analyze and adjust all factors that may be increasing your bounce rate.,UX_rebot,exacta_url_keyword_idea,4,mesurament_millorat_pendent_dades,mesurament_pendent,dades_pendents,"Avís de pàgina repetit per keyword, sense període, mostra, canal ni conversions al fitxer. La instrumentació anterior no demostra millora de rebot o permanència.",docs/seo-excel-2026-09-16/resum.md; docs/seo-onpage-2026-09-16/tracking.md,"Comparar sessions equivalents, consentiment, contactes i primeres visites; cap API d’Analytics consultada per aquesta conciliació."
5,SEO Ideas!A5:D5,0.00,https://www.estudidentalcarrera.com/es/atm-bruxismo.html,bruxismo lleida,The amount of time visitors are spending on this page is suspiciously low. Try to adjust all factors that may be causing users to leave too quickly.,UX_permanencia,exacta_url_keyword_idea,5,mesurament_millorat_pendent_dades,mesurament_pendent,dades_pendents,"Avís de pàgina repetit per keyword, sense període, mostra, canal ni conversions al fitxer. La instrumentació anterior no demostra millora de rebot o permanència.",docs/seo-excel-2026-09-16/resum.md; docs/seo-onpage-2026-09-16/tracking.md,"Comparar sessions equivalents, consentiment, contactes i primeres visites; cap API d’Analytics consultada per aquesta conciliació."
6,SEO Ideas!A6:D6,0.43,https://www.estudidentalcarrera.com/es/dentista-tremp.html,clinica dental tremp,This page has a high bounce rate. Try to analyze and adjust all factors that may be increasing your bounce rate.,UX_rebot,exacta_url_keyword_idea,6,mesurament_millorat_pendent_dades,mesurament_pendent,dades_pendents,"Avís de pàgina repetit per keyword, sense període, mostra, canal ni conversions al fitxer. La instrumentació anterior no demostra millora de rebot o permanència.",docs/seo-excel-2026-09-16/resum.md; docs/seo-onpage-2026-09-16/tracking.md,"Comparar sessions equivalents, consentiment, contactes i primeres visites; cap API d’Analytics consultada per aquesta conciliació."
7,SEO Ideas!A7:D7,0.43,https://www.estudidentalcarrera.com/es/dentista-tremp.html,clinica dental tremp,The amount of time visitors are spending on this page is suspiciously low. Try to adjust all factors that may be causing users to leave too quickly.,UX_permanencia,exacta_url_keyword_idea,7,mesurament_millorat_pendent_dades,mesurament_pendent,dades_pendents,"Avís de pàgina repetit per keyword, sense període, mostra, canal ni conversions al fitxer. La instrumentació anterior no demostra millora de rebot o permanència.",docs/seo-excel-2026-09-16/resum.md; docs/seo-onpage-2026-09-16/tracking.md,"Comparar sessions equivalents, consentiment, contactes i primeres visites; cap API d’Analytics consultada per aquesta conciliació."
8,SEO Ideas!A8:D8,0.43,https://www.estudidentalcarrera.com/es/dentista-tremp.html,estudi dental tremp,This page has a high bounce rate. Try to analyze and adjust all factors that may be increasing your bounce rate.,UX_rebot,mateixa_keyword_idea_url_canviada,41,mesurament_millorat_pendent_dades,mesurament_pendent,dades_pendents,"Avís de pàgina repetit per keyword, sense període, mostra, canal ni conversions al fitxer. La instrumentació anterior no demostra millora de rebot o permanència.",docs/seo-excel-2026-09-16/resum.md; docs/seo-onpage-2026-09-16/tracking.md,"Comparar sessions equivalents, consentiment, contactes i primeres visites; cap API d’Analytics consultada per aquesta conciliació."
9,SEO Ideas!A9:D9,0.43,https://www.estudidentalcarrera.com/es/dentista-tremp.html,estudi dental tremp,The amount of time visitors are spending on this page is suspiciously low. Try to adjust all factors that may be causing users to leave too quickly.,UX_permanencia,mateixa_keyword_idea_url_canviada,42,mesurament_millorat_pendent_dades,mesurament_pendent,dades_pendents,"Avís de pàgina repetit per keyword, sense període, mostra, canal ni conversions al fitxer. La instrumentació anterior no demostra millora de rebot o permanència.",docs/seo-excel-2026-09-16/resum.md; docs/seo-onpage-2026-09-16/tracking.md,"Comparar sessions equivalents, consentiment, contactes i primeres visites; cap API d’Analytics consultada per aquesta conciliació."
10,SEO Ideas!A10:D10,0.43,https://www.estudidentalcarrera.com/es/dentista-tremp.html,dentista tremp,This page has a high bounce rate. Try to analyze and adjust all factors that may be increasing your bounce rate.,UX_rebot,mateixa_keyword_idea_url_canviada,45,mesurament_millorat_pendent_dades,mesurament_pendent,dades_pendents,"Avís de pàgina repetit per keyword, sense període, mostra, canal ni conversions al fitxer. La instrumentació anterior no demostra millora de rebot o permanència.",docs/seo-excel-2026-09-16/resum.md; docs/seo-onpage-2026-09-16/tracking.md,"Comparar sessions equivalents, consentiment, contactes i primeres visites; cap API d’Analytics consultada per aquesta conciliació."
11,SEO Ideas!A11:D11,0.43,https://www.estudidentalcarrera.com/es/dentista-tremp.html,dentista tremp,The amount of time visitors are spending on this page is suspiciously low. Try to adjust all factors that may be causing users to leave too quickly.,UX_permanencia,mateixa_keyword_idea_url_canviada,46,mesurament_millorat_pendent_dades,mesurament_pendent,dades_pendents,"Avís de pàgina repetit per keyword, sense període, mostra, canal ni conversions al fitxer. La instrumentació anterior no demostra millora de rebot o permanència.",docs/seo-excel-2026-09-16/resum.md; docs/seo-onpage-2026-09-16/tracking.md,"Comparar sessions equivalents, consentiment, contactes i primeres visites; cap API d’Analytics consultada per aquesta conciliació."
