fila_excel,rang_font,prioritat_excel,url_excel,keyword_excel,idea_excel,categoria,estat,motiu,evidencia,url_objectiu_proposada,estat_assignacio,pendent
2,SEO Ideas!A2:D2,0.00,https://www.estudidentalcarrera.com/es/atm-bruxismo.html,dolor mandibula lleida,This page has a high bounce rate. Try to analyze and adjust all factors that may be increasing your bounce rate.,UX_rebot,mesurament_millorat_pendent_dades,"El senyal és de la pàgina, no una mètrica independent per cada keyword. El tracking de contacte publicat a f9b50c1 separa telèfon, WhatsApp, cita i formulari amb context. No hi ha dades de període/mostra per confirmar una millora de rebot o permanència.",assets/js/main.js; assets/js/appointment.js; docs/seo-onpage-2026-09-16/tracking.md,https://www.estudidentalcarrera.com/es/atm-bruxismo.html,sense_canvi_proposat,"Revisar sessions, període, consentiment, contactes i primera visita real; no es declara resolt l’avís UX."
3,SEO Ideas!A3:D3,0.00,https://www.estudidentalcarrera.com/es/atm-bruxismo.html,dolor mandibula lleida,The amount of time visitors are spending on this page is suspiciously low. Try to adjust all factors that may be causing users to leave too quickly.,UX_permanencia,mesurament_millorat_pendent_dades,"El senyal és de la pàgina, no una mètrica independent per cada keyword. El tracking de contacte publicat a f9b50c1 separa telèfon, WhatsApp, cita i formulari amb context. No hi ha dades de període/mostra per confirmar una millora de rebot o permanència.",assets/js/main.js; assets/js/appointment.js; docs/seo-onpage-2026-09-16/tracking.md,https://www.estudidentalcarrera.com/es/atm-bruxismo.html,sense_canvi_proposat,"Revisar sessions, període, consentiment, contactes i primera visita real; no es declara resolt l’avís UX."
4,SEO Ideas!A4:D4,0.00,https://www.estudidentalcarrera.com/es/atm-bruxismo.html,bruxismo lleida,This page has a high bounce rate. Try to analyze and adjust all factors that may be increasing your bounce rate.,UX_rebot,mesurament_millorat_pendent_dades,"El senyal és de la pàgina, no una mètrica independent per cada keyword. El tracking de contacte publicat a f9b50c1 separa telèfon, WhatsApp, cita i formulari amb context. No hi ha dades de període/mostra per confirmar una millora de rebot o permanència.",assets/js/main.js; assets/js/appointment.js; docs/seo-onpage-2026-09-16/tracking.md,https://www.estudidentalcarrera.com/es/atm-bruxismo.html,sense_canvi_proposat,"Revisar sessions, període, consentiment, contactes i primera visita real; no es declara resolt l’avís UX."
5,SEO Ideas!A5:D5,0.00,https://www.estudidentalcarrera.com/es/atm-bruxismo.html,bruxismo lleida,The amount of time visitors are spending on this page is suspiciously low. Try to adjust all factors that may be causing users to leave too quickly.,UX_permanencia,mesurament_millorat_pendent_dades,"El senyal és de la pàgina, no una mètrica independent per cada keyword. El tracking de contacte publicat a f9b50c1 separa telèfon, WhatsApp, cita i formulari amb context. No hi ha dades de període/mostra per confirmar una millora de rebot o permanència.",assets/js/main.js; assets/js/appointment.js; docs/seo-onpage-2026-09-16/tracking.md,https://www.estudidentalcarrera.com/es/atm-bruxismo.html,sense_canvi_proposat,"Revisar sessions, període, consentiment, contactes i primera visita real; no es declara resolt l’avís UX."
6,SEO Ideas!A6:D6,0.11,https://www.estudidentalcarrera.com/es/dentista-tremp.html,clinica dental tremp,This page has a high bounce rate. Try to analyze and adjust all factors that may be increasing your bounce rate.,UX_rebot,mesurament_millorat_pendent_dades,"El senyal és de la pàgina, no una mètrica independent per cada keyword. El tracking de contacte publicat a f9b50c1 separa telèfon, WhatsApp, cita i formulari amb context. No hi ha dades de període/mostra per confirmar una millora de rebot o permanència. Les millores de contacte de Tremp i les comparatives ja estan incloses a la base publicada.",assets/js/main.js; assets/js/appointment.js; docs/seo-onpage-2026-09-16/tracking.md,https://www.estudidentalcarrera.com/es/dentista-tremp.html,sense_canvi_proposat,"Revisar sessions, període, consentiment, contactes i primera visita real; no es declara resolt l’avís UX."
7,SEO Ideas!A7:D7,0.11,https://www.estudidentalcarrera.com/es/dentista-tremp.html,clinica dental tremp,The amount of time visitors are spending on this page is suspiciously low. Try to adjust all factors that may be causing users to leave too quickly.,UX_permanencia,mesurament_millorat_pendent_dades,"El senyal és de la pàgina, no una mètrica independent per cada keyword. El tracking de contacte publicat a f9b50c1 separa telèfon, WhatsApp, cita i formulari amb context. No hi ha dades de període/mostra per confirmar una millora de rebot o permanència. Les millores de contacte de Tremp i les comparatives ja estan incloses a la base publicada.",assets/js/main.js; assets/js/appointment.js; docs/seo-onpage-2026-09-16/tracking.md,https://www.estudidentalcarrera.com/es/dentista-tremp.html,sense_canvi_proposat,"Revisar sessions, període, consentiment, contactes i primera visita real; no es declara resolt l’avís UX."
8,SEO Ideas!A8:D8,7.55,https://www.estudidentalcarrera.com/es/clinica-dental-lleida.html,clinica dental lleida,This page has a high bounce rate. Try to analyze and adjust all factors that may be increasing your bounce rate.,UX_rebot,mesurament_millorat_pendent_dades,"El senyal és de la pàgina, no una mètrica independent per cada keyword. El tracking de contacte publicat a f9b50c1 separa telèfon, WhatsApp, cita i formulari amb context. No hi ha dades de període/mostra per confirmar una millora de rebot o permanència.",assets/js/main.js; assets/js/appointment.js; docs/seo-onpage-2026-09-16/tracking.md,https://www.estudidentalcarrera.com/es/clinica-dental-lleida.html,sense_canvi_proposat,"Revisar sessions, període, consentiment, contactes i primera visita real; no es declara resolt l’avís UX."
9,SEO Ideas!A9:D9,7.55,https://www.estudidentalcarrera.com/es/clinica-dental-lleida.html,clinica dental lleida,The amount of time visitors are spending on this page is suspiciously low. Try to adjust all factors that may be causing users to leave too quickly.,UX_permanencia,mesurament_millorat_pendent_dades,"El senyal és de la pàgina, no una mètrica independent per cada keyword. El tracking de contacte publicat a f9b50c1 separa telèfon, WhatsApp, cita i formulari amb context. No hi ha dades de període/mostra per confirmar una millora de rebot o permanència.",assets/js/main.js; assets/js/appointment.js; docs/seo-onpage-2026-09-16/tracking.md,https://www.estudidentalcarrera.com/es/clinica-dental-lleida.html,sense_canvi_proposat,"Revisar sessions, període, consentiment, contactes i primera visita real; no es declara resolt l’avís UX."
10,SEO Ideas!A10:D10,7.55,https://www.estudidentalcarrera.com/es/clinica-dental-lleida.html,dentista qui lleida,This page has a high bounce rate. Try to analyze and adjust all factors that may be increasing your bounce rate.,UX_rebot,no_aplica,"Keyword de competidor o d’una ubicació aliena: dentista qui lleida. No s’adapta el web de Carrera per presentar una altra clínica, professional o ciutat.",Excel SEO Ideas!C10:D10; equip.html; data/clinics.js,,no_es_reassigna_ni_selimina_historial,No s’ha eliminat cap keyword ni historial de Semrush.
11,SEO Ideas!A11:D11,7.55,https://www.estudidentalcarrera.com/es/clinica-dental-lleida.html,dentista qui lleida,The amount of time visitors are spending on this page is suspiciously low. Try to adjust all factors that may be causing users to leave too quickly.,UX_permanencia,no_aplica,"Keyword de competidor o d’una ubicació aliena: dentista qui lleida. No s’adapta el web de Carrera per presentar una altra clínica, professional o ciutat.",Excel SEO Ideas!C11:D11; equip.html; data/clinics.js,,no_es_reassigna_ni_selimina_historial,No s’ha eliminat cap keyword ni historial de Semrush.
12,SEO Ideas!A12:D12,7.55,https://www.estudidentalcarrera.com/es/clinica-dental-lleida.html,estudi dental,This page has a high bounce rate. Try to analyze and adjust all factors that may be increasing your bounce rate.,UX_rebot,mesurament_millorat_pendent_dades,"El senyal és de la pàgina, no una mètrica independent per cada keyword. El tracking de contacte publicat a f9b50c1 separa telèfon, WhatsApp, cita i formulari amb context. No hi ha dades de període/mostra per confirmar una millora de rebot o permanència.","assets/js/main.js; assets/js/appointment.js; docs/seo-onpage-2026-09-16/tracking.md | Semrush 16/09/2026, readback de l’agent principal: modal /es/ desat amb 11 keywords, les 6 noves de marca i les 5 preexistents preservades; taula /es/ mostra carrera clinica, 10 més, en recopilació.",https://www.estudidentalcarrera.com/es/,confirmada_readback_semrush,"Revisar sessions, període, consentiment, contactes i primera visita real; no es declara resolt l’avís UX."
